match_key,structure,system_type,system_id,temp,avg_energy,energy_std,delta,phase,run_id
pt8/pt8sn10-2-best/t400.r1.gpu0,Pt8sn10,Pt8SnX,Pt8sn10,400,-95767.72923835,0.64423012,0.070329,solid,
pt8/pt8sn10-2-best/t700.r4.gpu0,Pt8sn10,Pt8SnX,Pt8sn10,700,-95755.13539271,1.06483662,0.086876,solid,
pt8/pt8sn10-2-best/t800.r5.gpu0,Pt8sn10,Pt8SnX,Pt8sn10,800,-95750.46982639,1.17275981,0.231582,liquid,
pt8/pt8sn1-2-best/t800.r5.gpu0,Pt8sn1,Pt8SnX,Pt8sn1,800,-94886.55316077,1.03060427,0.237628,liquid,
pt8/pt8sn1-2-best/t600.r3.gpu0,Pt8sn1,Pt8SnX,Pt8sn1,600,-94894.66213191,0.77283723,0.182959,liquid,
pt8/pt8sn2-1-best/t300.r0.gpu0,Pt8sn2,Pt8SnX,Pt8sn2,300,-95004.31093657,0.37448179,0.032186,solid,
pt8/pt8sn2-1-best/t400.r1.gpu0,Pt8sn2,Pt8SnX,Pt8sn2,400,-95000.23729255,0.50227623,0.037261,solid,
pt8/pt8sn2-1-best/t600.r3.gpu0,Pt8sn2,Pt8SnX,Pt8sn2,600,-94992.02352811,0.7680062,0.052581,solid,
pt8/pt8sn3-1-best/t500.r2.gpu0,Pt8sn3,Pt8SnX,Pt8sn3,500,-95092.07188884,0.64005829,0.062333,solid,
pt8/pt8sn3-1-best/t400.r1.gpu0,Pt8sn3,Pt8SnX,Pt8sn3,400,-95096.23722163,0.51216982,0.038156,solid,
pt8/pt8sn3-1-best/t300.r0.gpu0,Pt8sn3,Pt8SnX,Pt8sn3,300,-95100.50107351,0.39000649,0.035768,solid,
pt8/pt8sn3-1-best/t700.r4.gpu0,Pt8sn3,Pt8SnX,Pt8sn3,700,-95083.76177552,0.92332153,0.182188,liquid,
pt8/pt8sn3-1-best/t800.r5.gpu0,Pt8sn3,Pt8SnX,Pt8sn3,800,-95079.91201977,1.08739327,0.158687,liquid,
pt8/pt8sn4-1-best/t400.r1.gpu0,Pt8sn4,Pt8SnX,Pt8sn4,400,-95192.88254424,0.51077299,0.040012,solid,
pt8/pt8sn4-1-best/t600.r3.gpu0,Pt8sn4,Pt8SnX,Pt8sn4,600,-95184.35151536,0.77804194,0.119785,premelting,
pt8/pt8sn4-1-best/t500.r2.gpu0,Pt8sn4,Pt8SnX,Pt8sn4,500,-95188.75141115,0.63407732,0.044533,solid,
pt8/pt8sn4-1-best/t700.r4.gpu0,Pt8sn4,Pt8SnX,Pt8sn4,700,-95180.43717569,0.92717044,0.15995,liquid,
pt8/pt8sn4-1-best/t800.r5.gpu0,Pt8sn4,Pt8SnX,Pt8sn4,800,-95175.90265331,1.09746181,0.342995,liquid,
pt8/pt8sn5-1-best/t300.r0.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,300,-95293.61481368,0.38869234,0.033116,solid,
pt8/pt8sn5-1-best/t400.r1.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,400,-95289.41762245,0.52373276,0.042545,solid,
pt8/pt8sn5-1-best/t500.r2.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,500,-95284.91477606,0.65983689,0.052363,solid,
pt8/pt8sn5-1-best/t600.r3.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,600,-95280.71579571,0.80473678,0.119287,premelting,
pt8/pt8sn5-1-best/t700.r4.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,700,-95276.78259246,0.93371176,0.078313,solid,
pt8/pt8sn5-1-best/t800.r5.gpu0,Pt8sn5,Pt8SnX,Pt8sn5,800,-95271.98687421,1.07792462,0.259358,liquid,
pt8/pt8sn6-1-best/t1000.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.49480623,1.33482765,0.235854,liquid,
pt8/pt8sn6-1-best/t300.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.05512633,0.38786214,0.033123,solid,
pt8/pt8sn6-1-best/t500.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.62865375,0.63673877,0.08309,solid,
pt8/pt8sn6-1-best/t400.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.68005759,0.52040108,0.091536,solid,
pt8/pt8sn6-1-best/t600.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.43898653,0.78360091,0.079878,solid,
pt8/pt8sn6-1-best/t800.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.06760413,1.05773308,0.157481,liquid,
pt8/pt8sn6-1-best/t900.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.95818584,1.19454168,0.188017,liquid,
pt8/pt8sn7-1-best/t1000.r7.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,1000,-95456.74617196,1.40859772,0.373011,liquid,
pt8/pt8sn7-1-best/t300.r0.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,300,-95486.59287802,0.437418,0.0699,solid,
pt8/pt8sn7-1-best/t1100.r8.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,1100,-95452.35240797,1.56468296,0.321164,liquid,
pt8/pt8sn7-1-best/t400.r1.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,400,-95482.30424188,0.55205444,0.047796,solid,
pt8/pt8sn7-1-best/t500.r2.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,500,-95478.59310073,0.72854657,0.078367,solid,
pt8/pt8sn7-1-best/t600.r3.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,600,-95473.93964021,0.84031172,0.116201,premelting,
pt8/pt8sn7-1-best/t800.r5.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,800,-95465.57883511,1.16573807,0.2834,liquid,
pt8/pt8sn7-1-best/t900.r6.gpu0,Pt8sn7,Pt8SnX,Pt8sn7,900,-95461.00739366,1.26125706,0.282907,liquid,
pt8/pt8sn8-1-best/t300.r0.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,300,-95580.40023567,0.38808056,0.038128,solid,
pt8/pt8sn8-1-best/t400.r1.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,400,-95576.1704988,0.52007245,0.040562,solid,
pt8/pt8sn8-1-best/t500.r2.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,500,-95572.04165451,0.7822639,0.159263,liquid,
pt8/pt8sn8-1-best/t600.r3.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,600,-95567.56218742,0.78954977,0.052236,solid,
pt8/pt8sn8-1-best/t700.r4.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,700,-95563.79959897,0.99960977,0.137751,premelting,
pt8/pt8sn8-1-best/t800.r5.gpu0,Pt8sn8,Pt8SnX,Pt8sn8,800,-95559.28900805,1.10230129,0.2256,liquid,
pt8/pt8sn9-1-best/t300.r0.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,300,-95676.15985251,0.40025667,0.034528,solid,
pt8/pt8sn9-1-best/t500.r2.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,500,-95667.26114689,0.67724195,0.096479,solid,
pt8/pt8sn9-1-best/t400.r1.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,400,-95672.03841777,0.67216889,0.084554,solid,
pt8/pt8sn9-1-best/t600.r3.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,600,-95663.57426867,0.87657883,0.170619,liquid,
pt8/pt8sn9-1-best/t700.r4.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,700,-95659.50481832,1.00074967,0.087937,solid,
pt8/pt8sn9-1-best/t800.r5.gpu0,Pt8sn9,Pt8SnX,Pt8sn9,800,-95654.86824833,1.11667099,0.174344,liquid,
g-1535-sn8pt6o4/cv-1/t1000.r16.gpu0,Cv,Cv,Cv,1000,-90757.66964451,1.39917079,0.225552,liquid,
g-1535-sn8pt6o4/cv-1/t1050.r17.gpu0,Cv,Cv,Cv,1050,-90755.18858508,1.48237599,0.30445,liquid,
g-1535-sn8pt6o4/cv-1/t1100.r18.gpu0,Cv,Cv,Cv,1100,-90752.76033792,1.51008137,0.342785,liquid,
g-1535-sn8pt6o4/cv-1/t250.r1.gpu0,Cv,Cv,Cv,250,-90788.97021069,0.33043662,0.069856,solid,
g-1535-sn8pt6o4/cv-1/t200.r0.gpu0,Cv,Cv,Cv,200,-90791.095382,0.26347985,0.066902,solid,
g-1535-sn8pt6o4/cv-1/t300.r2.gpu0,Cv,Cv,Cv,300,-90786.87243888,0.41333097,0.104912,premelting,
g-1535-sn8pt6o4/cv-1/t350.r3.gpu0,Cv,Cv,Cv,350,-90785.34460071,0.6527145,0.062719,solid,
g-1535-sn8pt6o4/cv-1/t450.r5.gpu0,Cv,Cv,Cv,450,-90781.16136801,0.75759181,0.051802,solid,
g-1535-sn8pt6o4/cv-1/t400.r4.gpu0,Cv,Cv,Cv,400,-90782.64417392,0.54556493,0.143349,premelting,
