composition,temperature,element,n_runs_total,n_runs_outlier,n_runs_clean,D_all,r2_all,D_clean,r2_clean,delta_r2,delta_D,delta_D_pct,improved
O2Pt4Sn6,1000K,Pt,6,2,4,1.0330614040382525e-06,0.9033932075352271,8.984128275484545e-07,0.902031248039726,-0.0013619594955011083,-1.3464857648979805e-07,-13.033937379080735,False
O2Pt4Sn6,1000K,PtSn,6,2,4,9.071312375256558e-07,0.9393746803068882,8.173613111701296e-07,0.9430007181770267,0.0036260378701384877,-8.976992635552624e-08,-9.89602415196151,True
O2Pt4Sn6,1000K,Sn,6,2,4,7.691696288019243e-07,0.9626585626787321,7.285662524390499e-07,0.8731350645912459,-0.08952349808748616,-4.060337636287447e-08,-5.278858504348278,False
O2Pt4Sn6,1100K,Pt,6,2,4,1.8092363653222468e-06,0.9427494249617532,1.6062184680943358e-06,0.9303686073081989,-0.012380817653554255,-2.0301789722791097e-07,-11.221192604745761,False
O2Pt4Sn6,1100K,PtSn,6,2,4,1.7400237815196653e-06,0.9516701642100636,1.3944106385805009e-06,0.9445461648158056,-0.007123999394258007,-3.4561314293916445e-07,-19.86255283461242,False
O2Pt4Sn6,1100K,Sn,6,2,4,1.6641984826097704e-06,0.9554124851509374,1.162366072756925e-06,0.9330321732385022,-0.02238031191243517,-5.018324098528454e-07,-30.154600854212987,False
O2Pt4Sn6,200K,Pt,6,0,6,1.184960434793954e-08,0.4235733040205428,1.184960434793954e-08,0.4235733040205428,0.0,0.0,0.0,False
O2Pt4Sn6,200K,PtSn,6,0,6,1.0362487285282629e-08,0.41248393425453883,1.0362487285282629e-08,0.41248393425453883,0.0,0.0,0.0,False
O2Pt4Sn6,200K,Sn,6,0,6,8.733283529487466e-09,0.3806078984702334,8.733283529487466e-09,0.3806078984702334,0.0,0.0,0.0,False
O2Pt4Sn6,300K,Pt,6,0,6,3.0303221268717116e-07,0.9828887284439781,3.0303221268717116e-07,0.9828887284439781,0.0,0.0,0.0,False
O2Pt4Sn6,300K,PtSn,6,0,6,2.6855281902700925e-07,0.9811228125197744,2.6855281902700925e-07,0.9811228125197744,0.0,0.0,0.0,False
O2Pt4Sn6,300K,Sn,6,0,6,2.3077911490236664e-07,0.9746568688436308,2.3077911490236664e-07,0.9746568688436308,0.0,0.0,0.0,False
O2Pt4Sn6,400K,Pt,6,0,6,1.0055084021398555e-07,0.8195456811632011,1.0055084021398555e-07,0.8195456811632011,0.0,0.0,0.0,False
O2Pt4Sn6,400K,PtSn,6,0,6,7.32776895930268e-08,0.8000863745806832,7.32776895930268e-08,0.8000863745806832,0.0,0.0,0.0,False
