group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O2Pt4Sn6_900K_Pt,O2Pt4Sn6,900K,Pt,7,3.5610000000000007e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt4Sn6\900K\T900.r7.gpu0_msd_Pt.xvg,IQR_outlier
O2Pt4Sn6_900K_PtSn,O2Pt4Sn6,900K,PtSn,7,3.2850000000000003e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt4Sn6\900K\T900.r7.gpu0_msd_PtSn.xvg,IQR_outlier
O2Pt4Sn6_900K_Sn,O2Pt4Sn6,900K,Sn,7,2.9830000000000005e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt4Sn6\900K\T900.r7.gpu0_msd_Sn.xvg,IQR_outlier
O2Pt7Sn7_1000K_Pt,O2Pt7Sn7,1000K,Pt,8,7.750000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2\O2Pt7Sn7\1000K\T1000.r8.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Pt,O2Pt7Sn7,1100K,Pt,27,5.117000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r27.gpu0_msd_Pt.xvg,IQR_outlier
O2Pt7Sn7_1100K_Pt,O2Pt7Sn7,1100K,Pt,9,2.122e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt7Sn7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Pt,O2Pt7Sn7,1100K,Pt,9,1.271e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Pt,O2Pt7Sn7,1100K,Pt,28,2.93e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r28.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Pt,O2Pt7Sn7,1100K,Pt,29,-3.77e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r29.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_PtSn,O2Pt7Sn7,1100K,PtSn,9,9.73e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\1100K\T1100.r9.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_PtSn,O2Pt7Sn7,1100K,PtSn,28,2.536e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r28.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_PtSn,O2Pt7Sn7,1100K,PtSn,29,8.53e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r29.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Sn,O2Pt7Sn7,1100K,Sn,9,4.830000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\1100K\T1100.r9.gpu0_msd_Sn.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Sn,O2Pt7Sn7,1100K,Sn,28,1.8880000000000002e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r28.gpu0_msd_Sn.xvg,Intercept>10.0A²
O2Pt7Sn7_1100K_Sn,O2Pt7Sn7,1100K,Sn,29,2.874e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\1100K\T1100.r29.gpu0_msd_Sn.xvg,Intercept>10.0A²
O2Pt7Sn7_200K_Pt,O2Pt7Sn7,200K,Pt,0,-3.4e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_Pt.xvg,IQR_outlier
O2Pt7Sn7_200K_Pt,O2Pt7Sn7,200K,Pt,0,9.900000000000001e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_Pt.xvg,IQR_outlier
O2Pt7Sn7_200K_PtSn,O2Pt7Sn7,200K,PtSn,0,-3.2e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_PtSn.xvg,IQR_outlier
O2Pt7Sn7_200K_PtSn,O2Pt7Sn7,200K,PtSn,0,9.8e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_PtSn.xvg,IQR_outlier
