structure,n_partitions,phase,Cv_cluster,Cv_cluster_err,R2,R2_total,grade,grade_score
Pt8sn6,2,partition1,3.7387085310444688,0.09457558496751056,0.9738274430273556,0.9997866114771479,★★★ Excellent,4
Pt8sn6,2,partition2,5.101278208815174,0.1527251329538797,0.9670617290032093,0.9995278343090147,★★★ Excellent,4
