match_key,structure,system_type,system_id,temp,avg_energy,energy_std,delta,phase,run_id,cluster,phase_clustered
pt8-4/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.67039928,0.51447567,0.081157,solid,,1,partition1
pt8-4/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.65597376,0.64990676,0.077838,solid,,1,partition1
pt8-4/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.21111837,0.80018439,0.124278,premelting,,1,partition1
pt8-4/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.51281115,0.95998884,0.165887,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.83454776,1.46937414,0.266098,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.00570587,1.06825989,0.219368,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.68580399,1.19388212,0.245307,liquid,,0,partition2
pt8/pt8sn6-1-best/t1000.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.35718439,1.35308143,0.286018,liquid,,0,partition2
pt8/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09249482,0.25596369,0.047021,solid,,1,partition1
pt8/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.89003553,1.50313307,0.299521,liquid,,0,partition2
pt8/pt8sn6-1-best/t300.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.05595784,0.38772633,0.040065,solid,,1,partition1
pt8/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.60734606,0.65091751,0.085489,solid,,1,partition1
pt8/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.55596751,0.80968534,0.155374,liquid,,1,partition1
pt8/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.20412872,0.93832326,0.235918,liquid,,0,partition2
pt8/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.00059561,1.0857221,0.181128,liquid,,0,partition2
pt8/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.71516232,0.52329132,0.096222,solid,,1,partition1
pt8/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.84840163,1.20860192,0.159047,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t1000.r25.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.50413169,1.32690864,0.254451,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t1000.r24.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.52956764,1.3986844,0.247468,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09023013,0.2571646,0.049868,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t200.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.1818959,0.25804215,0.05668,solid,,1,partition1
