structure,n_partitions,phase,Cv_cluster,Cv_cluster_err,R2,R2_total,grade,grade_score
Pt8sn6,3,partition1,3.664199469868957,0.10284572535886953,0.9716770842396163,0.9997769112546051,★★★ Excellent,4
Pt8sn6,3,partition2,3.6581400433498272,0.2706304566654201,0.8925320008938422,0.9990818722228341,★ Fair,2
Pt8sn6,3,partition3,5.150035246889695,0.3522159224510179,0.9183839704982092,0.9987481700269808,★★ Good,3
